ano,name_model,Erro_days,R2,MAE,RMSE,TP,FP,FN,TN,Recall,Precision,F1,MedAE
2009,XGBoost_regressao_talhao,11.099118338932929,-0.013919591903686523,11.099118338932929,14.571086671570423,1447,2993,2564,0,0.3607579157317377,0.3259009009009009,0.34244468110282805,8.275165557861328
2010,XGBoost_regressao_talhao,12.284392883205816,0.19470489025115967,12.284392883205816,17.195492927198803,2156,5052,1790,0,0.5463760770400405,0.2991120976692564,0.3865877712031558,7.465888977050781
2011,XGBoost_regressao_talhao,14.57151976691352,-0.5350571870803833,14.57151976691352,19.821450770975513,108,108,324,0,0.25,0.5,0.3333333333333333,10.670608520507812
2012,XGBoost_regressao_talhao,11.424548977036181,0.0476265549659729,11.424548977036181,15.346613872245397,678,1988,762,0,0.4708333333333333,0.25431357839459867,0.3302484169508037,8.51690673828125
2013,XGBoost_regressao_talhao,9.3040894293016,-0.6222470998764038,9.3040894293016,12.481317115315978,538,1006,781,0,0.40788476118271416,0.3484455958549223,0.3758295494236814,6.6788330078125
2014,XGBoost_regressao_talhao,10.825889779554725,0.2012982964515686,10.825889779554725,13.822573094514222,455,848,1119,0,0.28907242693773827,0.34919416730621644,0.31630170316301703,8.411445617675781
2015,XGBoost_regressao_talhao,10.958782190321445,0.2526472806930542,10.958782190321445,14.148583032790636,512,1199,955,0,0.34901158827539197,0.2992402104032729,0.32221522970421645,8.948593139648438
2016,XGBoost_regressao_talhao,10.688678120187792,0.1473844051361084,10.688678120187792,14.275523124335619,604,1216,808,0,0.42776203966005666,0.33186813186813185,0.37376237623762376,7.803316116333008
2017,XGBoost_regressao_talhao,8.136186563852922,-0.005418658256530762,8.136186563852922,10.943130978784492,865,1548,883,0,0.4948512585812357,0.35847492747617077,0.41576544099975976,5.975841522216797
2018,XGBoost_regressao_talhao,11.562191508075978,0.181235671043396,11.562191508075978,15.750511347651056,348,453,714,0,0.327683615819209,0.4344569288389513,0.3735909822866344,7.197181701660156
2019,XGBoost_regressao_talhao,14.082014265139241,-0.05941665172576904,14.082014265139241,18.52132663443239,432,1390,598,0,0.41941747572815535,0.23710208562019758,0.302945301542777,10.087715148925781
